YEAR	ALIAS	Information Visualization	Statistical	Mathematics	Drawing and Artistic	Computer Usage	Programming	Computer Graphics Programming	Human-Computer Interaction Programming	User Experience Evaluation	Communication	Collaboration	Code repository
2018	Lavender Brown	5	4	6	7	8	6	3	7	7	5	7	6
2018	Millicent Bulstrode	1	5	5	4	4	3	3	4	8	8	9	4
2018	Amycus Carrow	2	2	4	8	8	4	1	4	4	9	8	5
2018	Reginald Cattermole	4	4	5	2	8	5	2	3	8	10	9	7
2018	Mary Cattermole	5	2	4	8	9	8	4	5	5	10	9	10
2018	Cho Chang	3	3	4	5	8	5	3	4	2	8	8	6
2018	Fleur Delacour	3	4	7	7	9	6	3	2	7	8	8	5
2018	Seamus Finnigan	2	4	4	2	8	2	1	1	8	10	10	4
2018	Cornelius Fudge	1	6	7	1	7	4	5	3	3	7	8	8
2018	Godric Gryffindor	2	3	5	6	6	3	1	3	7	10	10	4
2018	Hermione Granger	3	3	6	4	7	5	1	2	6	8	8	6
2018	Xenophilius Lovegood	6	5	5	4	9	8	2	6	7	8	8	10
2018	Ernie Macmillan	4	5	5	4	7	4	4	5	6	3	6	3
2018	Minerva McGonagall	2	1	5	3	6	3	1	1	5	10	8	5
2018	Cormac McLaggen	3	5	3	6	8	4	1	2	8	10	10	6
2018	Harry Potter	1	3	5	3	7	3	1	5	6	10	10	7
2018	James Potter	1	4	4	3	8	3	1	3	9	9	5	3
2018	Rowena Ravenclaw	1	1	4	6	4	1	1	1	7	7	7	3
2018	Demelza Robins	3	5	6	8	9	7	2	7	8	8	8	6
2018	Augustus Rookwood	2	3	5	6	7	4	3	7	7	10	8	7
2018	Stanley Shunpike	1	2	5	6	5	1	1	2	6	10	10	1
2018	Horace Slughorn	2	2	4	5	7	3	2	3	6	7	6	5
2018	Hepzibah Smith	3	3	5	3	9	5	5	8	8	10	9	5
2018	Nymphadora Tonks	3	2	4	4	6	4	4	2	2	6	5	5
2018	Oliver Wood	2	6	2	2	3	1	1	2	6	5	8	2
2018	Bathilda Bagshot	2	3	6	9	5	3	3	3	4	8	8	2
2018	Dean Thomas	5	8	5	8	7	5	1	5	5	3	6	5
2018	Pansy Parkinson	2	6	5	6	9	1	1	1	3	7	9	4
2018	Charity Burbage	3	2	4	8	3	2	1	2	4	10	9	1
